Event_ID,Date_Event_Began,Time_Event_Began,Date_of_Restoration,Time_of_Restoration,Area_Affected,NERC_Region,Alert_Criteria,Event_Type,Demand_Loss_MW,Number_of_Customers_Affected,Category
383,12/6/2022,9:25:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,Physical Attack
384,12/27/2022,13:30:00,,21:16:00,California: San Diego County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
385,12/27/2022,7:07:00,,11:10:00,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,,,Physical Attack
386,12/27/2022,7:20:00,,11:22:00,California: Sacramento County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,Physical Attack
387,12/31/2022,19:00:00,,6:00:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,,161000,Weather
388,1/1/2023,0:06:00,,3:57:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
389,1/1/2023,9:55:00,,10:30:00,California: Sacramento County;,WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,Operations
390,1/7/2023,22:00:00,,21:00:00,California: Sacramento County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,458,185434,Weather
391,1/12/2023,10:00:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0,Physical Attack
392,1/23/2023,17:00:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,,,Physical Attack
393,1/23/2023,9:21:00,,,California: Sacramento County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,,,Physical Attack
394,2/13/2023,21:50:00,,2:24:00,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0,Physical Attack
395,2/19/2023,8:18:00,,12:15:00,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,Physical Attack
396,2/25/2023,0:08:00,,18:08:00,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,153555,Weather
397,3/26/2023,12:52:00,,13:54:00,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,34,,
